epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,8982.71,0.60265,0.48646,1.07093,0.99734,0.95238,0.9721,0.77495,0.85511,0.61866,1.22119,0.0014258,0.0014258,0.0014258
89,9107.91,0.61102,0.43108,1.0183,0.98358,0.95111,0.96782,0.80138,0.7919,0.59118,1.21203,0.0014192,0.0014192,0.0014192
90,9232.81,0.55851,0.41166,1.0044,0.9677,0.95122,0.96761,0.79236,0.7856,0.57127,1.24121,0.0014126,0.0014126,0.0014126
91,9362.91,0.57721,0.42737,1.05901,0.99141,0.92063,0.97911,0.79071,0.84,0.62827,1.31323,0.001406,0.001406,0.001406
92,9490.9,0.65034,0.45644,1.02182,0.99649,0.96825,0.98278,0.80157,0.76775,0.51929,1.23792,0.0013994,0.0013994,0.0013994
93,9627.09,0.56833,0.39739,1.07221,0.99815,0.96825,0.98779,0.81617,0.74597,0.52,1.18209,0.0013928,0.0013928,0.0013928
94,9762.98,0.60772,0.43396,1.05713,0.99836,0.96825,0.98749,0.85027,0.69441,0.46678,1.14715,0.0013862,0.0013862,0.0013862
95,9900.49,0.55663,0.39609,1.01845,0.997,0.96825,0.98624,0.83599,0.74134,0.48703,1.15944,0.0013796,0.0013796,0.0013796
96,10044.1,0.63501,0.43747,1.01841,0.96577,0.96825,0.99107,0.8112,0.77861,0.4807,1.23222,0.001373,0.001373,0.001373
97,10181.5,0.60253,0.4231,1.03984,0.99719,0.96825,0.99321,0.81875,0.78302,0.4421,1.20724,0.0013664,0.0013664,0.0013664
98,10315.3,0.53122,0.37824,1.01069,0.98101,0.96825,0.98821,0.81669,0.77525,0.43773,1.21113,0.0013598,0.0013598,0.0013598
99,10439.6,0.54537,0.37817,1.01962,0.98198,0.96825,0.98385,0.80562,0.80315,0.47985,1.20716,0.0013532,0.0013532,0.0013532
100,10567.2,0.54314,0.3825,1.03718,0.96275,0.95238,0.97924,0.76012,0.89922,0.65191,1.24456,0.0013466,0.0013466,0.0013466
101,10689.5,0.57115,0.41622,1.0312,0.98386,0.96737,0.9847,0.78043,0.89141,0.59354,1.26857,0.00134,0.00134,0.00134
102,10811.6,0.56616,0.40992,1.00538,1,0.98092,0.98577,0.79878,0.84379,0.53454,1.2295,0.0013334,0.0013334,0.0013334
